codigoNacional;idEquipo;idPista;momento;ts;td;tMin12Horas;tMax12Horas;tMin24Horas;tMax24Horas;horaTMin12Horas;horaTMax12Horas;horaTMin24Horas;horaTMax24Horas;ts02;ts10;ts30;momentoRegistro;tsMed15m;tsMax15m;tsMin15m;tsSupMax15m;tsSupMed15m;tsSupMin15m;tMin1M;tMax1M
330075;0;;2023-04-01 06:20:00;14.6;-3.2;;;;;;;;;;;;2023-04-01 07:20:26;;15.1;14.5;;;;;
330075;0;;2023-04-01 06:40:00;14.6;-3.5;;;;;;;;;;;;2023-04-01 07:20:26;;14.7;14.2;;;;;
330075;0;;2023-04-01 07:00:00;14.1;-3.8;;;;;;;;;;;;2023-04-01 07:20:26;;14.7;14.0;;;;;
330075;0;;2023-04-01 07:20:00;14.4;-4.1;;;;;;;;;;;;2023-04-01 08:20:33;;14.5;13.9;;;;;
330075;0;;2023-04-01 07:40:00;14.2;-4.6;;;;;;;;;;;;2023-04-01 08:20:33;;14.7;14.1;;;;;
330075;0;;2023-04-01 08:00:00;14.1;-4.3;;;;;;;;;;;;2023-04-01 08:20:33;;14.5;13.8;;;;;
330075;0;;2023-04-01 08:20:00;13.5;-4.6;;;;;;;;;;;;2023-04-01 09:20:27;;14.2;13.5;;;;;
330075;0;;2023-04-01 08:40:00;14.5;-5.1;;;;;;;;;;;;2023-04-01 09:20:27;;15.3;13.4;;;;;
330075;0;;2023-04-01 09:00:00;13.9;-5.0;;;;;;;;;;;;2023-04-01 09:20:27;;14.7;13.7;;;;;
330075;0;;2023-04-01 09:20:00;13.5;-5.2;;;;;;;;;;;;2023-04-01 10:20:29;;13.9;13.3;;;;;
330075;0;;2023-04-01 09:40:00;13.7;-5.8;;;;;;;;;;;;2023-04-01 10:20:29;;14.2;13.4;;;;;
330075;0;;2023-04-01 10:00:00;13.2;-6.3;;;;;;;;;;;;2023-04-01 10:20:29;;13.9;13.1;;;;;
330075;0;;2023-04-01 10:20:00;13.1;-6.6;;;;;;;;;;;;2023-04-01 11:45:03;;13.6;13.1;;;;;
330075;0;;2023-04-01 10:40:00;13.9;-7.0;;;;;;;;;;;;2023-04-01 11:45:03;;13.9;13.1;;;;;
330075;0;;2023-04-01 11:00:00;14.1;-7.3;;;;;;;;;;;;2023-04-01 11:45:03;;14.1;13.6;;;;;
330075;0;;2023-04-01 11:20:00;14.1;-7.8;;;;;;;;;;;;2023-04-01 12:20:27;;14.4;13.8;;;;;
330075;0;;2023-04-01 11:40:00;15.0;-7.7;;;;;;;;;;;;2023-04-01 12:20:27;;15.2;14.0;;;;;
330075;0;;2023-04-01 12:00:00;15.7;-6.8;;;;;;;;;;;;2023-04-01 12:20:27;;15.7;14.9;;;;;
330075;0;;2023-04-01 12:20:00;15.1;-3.5;;;;;;;;;;;;2023-04-01 13:35:31;;15.6;14.8;;;;;
330075;0;;2023-04-01 12:40:00;16.4;-4.7;;;;;;;;;;;;2023-04-01 13:35:31;;16.6;14.8;;;;;
330075;0;;2023-04-01 13:00:00;18.8;-2.3;;;;;;;;;;;;2023-04-01 13:35:31;;18.8;16.2;;;;;
330075;0;;2023-04-01 13:20:00;20.9;-2.3;;;;;;;;;;;;2023-04-01 14:20:29;;21.2;18.7;;;;;
330075;0;;2023-04-01 13:40:00;23.7;-1.4;;;;;;;;;;;;2023-04-01 14:20:29;;23.8;20.9;;;;;
330075;0;;2023-04-01 14:00:00;25.2;-1.5;;;;;;;;;;;;2023-04-01 14:20:29;;25.4;23.7;;;;;
330075;0;;2023-04-01 14:20:00;26.0;0.1;;;;;;;;;;;;2023-04-01 15:35:25;;26.2;25.1;;;;;
330075;0;;2023-04-01 14:40:00;26.6;0.4;;;;;;;;;;;;2023-04-01 15:35:25;;26.8;25.9;;;;;
330075;0;;2023-04-01 15:00:00;26.6;1.0;;;;;;;;;;;;2023-04-01 15:35:25;;27.5;26.3;;;;;
330075;0;;2023-04-01 15:20:00;27.1;1.0;;;;;;;;;;;;2023-04-01 16:20:29;;27.5;26.6;;;;;
330075;0;;2023-04-01 15:40:00;28.2;1.5;;;;;;;;;;;;2023-04-01 16:20:29;;28.2;27.0;;;;;
330075;0;;2023-04-01 16:00:00;28.5;0.5;;;;;;;;;;;;2023-04-01 16:20:29;;28.6;27.6;;;;;
330075;0;;2023-04-01 16:20:00;28.4;0.3;;;;;;;;;;;;2023-04-01 17:35:32;;28.9;27.9;;;;;
330075;0;;2023-04-01 16:40:00;29.4;1.2;;;;;;;;;;;;2023-04-01 17:35:32;;29.9;28.3;;;;;
330075;0;;2023-04-01 17:00:00;30.2;1.8;;;;;;;;;;;;2023-04-01 17:35:32;;30.4;29.3;;;;;
330075;0;;2023-04-01 17:20:00;30.9;1.0;;;;;;;;;;;;2023-04-01 18:20:35;;31.2;30.1;;;;;
330075;0;;2023-04-01 17:40:00;29.6;-0.2;;;;;;;;;;;;2023-04-01 18:20:35;;31.4;29.6;;;;;
330075;0;;2023-04-01 18:00:00;31.3;1.2;;;;;;;;;;;;2023-04-01 18:20:35;;31.4;29.5;;;;;
330075;0;;2023-04-01 18:20:00;31.6;1.6;;;;;;;;;;;;2023-04-01 19:20:24;;32.0;30.9;;;;;
330075;0;;2023-04-01 18:40:00;30.6;1.5;;;;;;;;;;;;2023-04-01 19:20:24;;31.8;30.6;;;;;
330075;0;;2023-04-01 19:00:00;31.6;2.9;;;;;;;;;;;;2023-04-01 19:20:24;;32.1;30.6;;;;;
330075;0;;2023-04-01 19:20:00;31.9;2.7;;;;;;;;;;;;2023-04-01 20:20:25;;32.1;30.9;;;;;
330075;0;;2023-04-01 19:40:00;31.6;2.2;;;;;;;;;;;;2023-04-01 20:20:25;;32.0;31.2;;;;;
330075;0;;2023-04-01 20:00:00;30.9;2.4;;;;;;;;;;;;2023-04-01 20:20:25;;31.9;30.4;;;;;
330075;0;;2023-04-01 20:20:00;30.0;2.3;;;;;;;;;;;;2023-04-01 21:35:24;;31.1;30.0;;;;;
330075;0;;2023-04-01 20:40:00;29.1;2.6;;;;;;;;;;;;2023-04-01 21:35:24;;30.1;28.9;;;;;
330075;0;;2023-04-01 21:00:00;28.5;2.6;;;;;;;;;;;;2023-04-01 21:35:24;;29.1;28.5;;;;;
330075;0;;2023-04-01 21:20:00;28.1;2.8;;;;;;;;;;;;2023-04-01 22:30:14;;28.8;28.1;;;;;
330075;0;;2023-04-01 21:40:00;27.4;3.2;;;;;;;;;;;;2023-04-01 22:30:14;;28.3;27.1;;;;;
330075;0;;2023-04-01 22:00:00;26.3;3.9;;;;;;;;;;;;2023-04-01 22:30:14;;27.3;26.2;;;;;
330075;0;;2023-04-01 22:20:00;24.9;3.0;;;;;;;;;;;;2023-04-01 23:45:04;;26.3;24.9;;;;;
330075;0;;2023-04-01 22:40:00;23.7;2.6;;;;;;;;;;;;2023-04-01 23:45:04;;25.1;23.7;;;;;
330075;0;;2023-04-01 23:00:00;22.9;2.9;;;;;;;;;;;;2023-04-01 23:45:04;;23.8;22.9;;;;;
330075;0;;2023-04-01 23:20:00;21.4;2.5;;;;;;;;;;;;2023-04-02 00:45:03;;23.1;21.2;;;;;
330075;0;;2023-04-01 23:40:00;19.1;1.5;;;;;;;;;;;;2023-04-02 00:45:03;;21.4;19.1;;;;;
330075;0;;2023-04-02 00:00:00;19.1;2.1;;;;;;;;;;;;2023-04-02 00:45:03;;19.6;18.6;;;;;
330075;0;;2023-04-02 00:20:00;18.9;2.0;;;;;;;;;;;;2023-04-02 01:45:03;;19.3;18.7;;;;;
330075;0;;2023-04-02 00:40:00;18.0;2.1;;;;;;;;;;;;2023-04-02 01:45:03;;18.9;18.0;;;;;
330075;0;;2023-04-02 01:00:00;17.4;1.8;;;;;;;;;;;;2023-04-02 01:45:03;;18.4;17.4;;;;;
330075;0;;2023-04-02 01:20:00;16.9;1.5;;;;;;;;;;;;2023-04-02 02:20:32;;17.9;16.9;;;;;
330075;0;;2023-04-02 01:40:00;16.6;1.6;;;;;;;;;;;;2023-04-02 02:20:32;;17.5;16.4;;;;;
330075;0;;2023-04-02 02:00:00;16.2;1.4;;;;;;;;;;;;2023-04-02 02:20:32;;16.7;16.2;;;;;
330075;0;;2023-04-02 02:20:00;15.8;1.3;;;;;;;;;;;;2023-04-02 03:20:23;;16.3;15.8;;;;;
330075;0;;2023-04-02 02:40:00;15.8;1.4;;;;;;;;;;;;2023-04-02 03:20:23;;16.1;15.6;;;;;
330075;0;;2023-04-02 03:00:00;15.6;1.2;;;;;;;;;;;;2023-04-02 03:20:23;;15.9;15.5;;;;;
330075;0;;2023-04-02 03:20:00;15.6;1.3;;;;;;;;;;;;2023-04-02 04:20:24;;16.0;15.4;;;;;
330075;0;;2023-04-02 03:40:00;15.1;0.9;;;;;;;;;;;;2023-04-02 04:20:24;;15.8;15.1;;;;;
330075;0;;2023-04-02 04:00:00;15.0;0.9;;;;;;;;;;;;2023-04-02 04:20:24;;15.4;14.9;;;;;
330075;0;;2023-04-02 04:20:00;14.7;0.7;;;;;;;;;;;;2023-04-02 05:20:21;;15.2;14.6;;;;;
330075;0;;2023-04-02 04:40:00;14.8;0.6;;;;;;;;;;;;2023-04-02 05:20:21;;15.1;14.6;;;;;
330075;0;;2023-04-02 05:00:00;14.3;0.4;;;;;;;;;;;;2023-04-02 05:20:21;;15.0;14.3;;;;;
330075;0;;2023-04-02 05:20:00;14.1;0.3;;;;;;;;;;;;2023-04-02 06:20:20;;14.7;13.9;;;;;
330075;0;;2023-04-02 05:40:00;14.2;0.3;;;;;;;;;;;;2023-04-02 06:20:20;;14.8;14.0;;;;;
330075;0;;2023-04-02 06:00:00;14.1;0.0;;;;;;;;;;;;2023-04-02 06:20:20;;14.8;14.0;;;;;
330075;0;;2023-04-02 06:20:00;13.8;0.3;;;;;;;;;;;;2023-04-02 07:20:23;;14.1;13.5;;;;;
330075;0;;2023-04-02 06:40:00;13.8;0.1;;;;;;;;;;;;2023-04-02 07:20:23;;14.1;13.5;;;;;
330075;0;;2023-04-02 07:00:00;13.9;0.2;;;;;;;;;;;;2023-04-02 07:20:23;;14.8;13.7;;;;;
330075;0;;2023-04-02 07:20:00;12.6;0.2;;;;;;;;;;;;2023-04-02 08:20:24;;14.3;12.6;;;;;
330075;0;;2023-04-02 07:40:00;14.1;0.6;;;;;;;;;;;;2023-04-02 08:20:24;;14.1;12.5;;;;;
330075;0;;2023-04-02 08:00:00;13.6;0.4;;;;;;;;;;;;2023-04-02 08:20:24;;14.3;13.4;;;;;
330075;0;;2023-04-02 08:20:00;13.4;0.4;;;;;;;;;;;;2023-04-02 09:50:28;;13.7;13.1;;;;;
330075;0;;2023-04-02 08:40:00;14.0;0.2;;;;;;;;;;;;2023-04-02 09:50:28;;14.3;13.4;;;;;
330075;0;;2023-04-02 09:00:00;15.2;0.5;;;;;;;;;;;;2023-04-02 09:50:28;;15.2;14.0;;;;;
330075;0;;2023-04-02 09:20:00;15.2;0.3;;;;;;;;;;;;2023-04-02 10:35:26;;15.6;15.0;;;;;
330075;0;;2023-04-02 09:40:00;14.3;1.5;;;;;;;;;;;;2023-04-02 10:35:26;;15.5;14.3;;;;;
330075;0;;2023-04-02 10:00:00;13.7;1.2;;;;;;;;;;;;2023-04-02 10:35:26;;14.4;13.6;;;;;
330075;0;;2023-04-02 10:20:00;14.7;1.1;;;;;;;;;;;;2023-04-02 11:35:26;;14.7;13.4;;;;;
330075;0;;2023-04-02 10:40:00;14.2;1.2;;;;;;;;;;;;2023-04-02 11:35:26;;15.2;14.2;;;;;
330075;0;;2023-04-02 11:00:00;14.7;1.0;;;;;;;;;;;;2023-04-02 11:35:26;;14.8;13.9;;;;;
330075;0;;2023-04-02 11:20:00;14.3;1.0;;;;;;;;;;;;2023-04-02 12:20:30;;15.1;14.3;;;;;
330075;0;;2023-04-02 11:40:00;15.3;1.2;;;;;;;;;;;;2023-04-02 12:20:30;;15.4;14.3;;;;;
330075;0;;2023-04-02 12:00:00;15.7;1.5;;;;;;;;;;;;2023-04-02 12:20:30;;15.8;15.3;;;;;
330075;0;;2023-04-02 12:20:00;16.4;1.9;;;;;;;;;;;;2023-04-02 13:20:30;;16.4;15.6;;;;;
330075;0;;2023-04-02 12:40:00;19.2;2.4;;;;;;;;;;;;2023-04-02 13:20:30;;19.4;16.3;;;;;
330075;0;;2023-04-02 13:00:00;18.9;2.9;;;;;;;;;;;;2023-04-02 13:20:30;;19.4;18.6;;;;;
330075;0;;2023-04-02 13:20:00;21.0;2.6;;;;;;;;;;;;2023-04-02 14:20:32;;21.2;18.7;;;;;
330075;0;;2023-04-02 13:40:00;23.4;2.9;;;;;;;;;;;;2023-04-02 14:20:32;;23.6;21.1;;;;;
330075;0;;2023-04-02 14:00:00;23.6;3.1;;;;;;;;;;;;2023-04-02 14:20:32;;23.8;23.1;;;;;
330075;0;;2023-04-02 14:20:00;24.6;3.8;;;;;;;;;;;;2023-04-02 15:35:31;;24.6;23.6;;;;;
330075;0;;2023-04-02 14:40:00;25.2;3.2;;;;;;;;;;;;2023-04-02 15:35:31;;25.3;24.4;;;;;
330075;0;;2023-04-02 15:00:00;25.4;4.0;;;;;;;;;;;;2023-04-02 15:35:31;;25.6;25.1;;;;;
330075;0;;2023-04-02 15:20:00;25.6;3.5;;;;;;;;;;;;2023-04-02 16:45:04;;26.3;25.1;;;;;
330075;0;;2023-04-02 15:40:00;26.8;3.6;;;;;;;;;;;;2023-04-02 16:45:04;;26.8;25.5;;;;;
330075;0;;2023-04-02 16:00:00;27.2;3.8;;;;;;;;;;;;2023-04-02 16:45:04;;27.7;26.7;;;;;
330075;0;;2023-04-02 16:20:00;27.6;3.8;;;;;;;;;;;;2023-04-02 17:20:27;;27.8;27.1;;;;;
330075;0;;2023-04-02 16:40:00;28.8;4.6;;;;;;;;;;;;2023-04-02 17:20:27;;29.1;27.5;;;;;
330075;0;;2023-04-02 17:00:00;28.2;3.7;;;;;;;;;;;;2023-04-02 17:20:27;;29.0;28.0;;;;;
330075;0;;2023-04-02 17:20:00;28.8;4.6;;;;;;;;;;;;2023-04-02 18:45:04;;29.5;28.1;;;;;
330075;0;;2023-04-02 17:40:00;28.6;4.2;;;;;;;;;;;;2023-04-02 18:45:04;;29.7;28.6;;;;;
330075;0;;2023-04-02 18:00:00;29.8;4.2;;;;;;;;;;;;2023-04-02 18:45:04;;30.1;28.4;;;;;
330075;0;;2023-04-02 18:20:00;29.9;3.7;;;;;;;;;;;;2023-04-02 19:45:03;;30.0;29.1;;;;;
330075;0;;2023-04-02 18:40:00;29.6;3.3;;;;;;;;;;;;2023-04-02 19:45:03;;30.1;29.3;;;;;
330075;0;;2023-04-02 19:00:00;29.6;1.4;;;;;;;;;;;;2023-04-02 19:45:03;;30.3;29.4;;;;;
330075;0;;2023-04-02 19:20:00;29.8;0.3;;;;;;;;;;;;2023-04-02 20:35:30;;30.0;29.3;;;;;
330075;0;;2023-04-02 19:40:00;29.6;1.3;;;;;;;;;;;;2023-04-02 20:35:30;;30.2;29.2;;;;;
330075;0;;2023-04-02 20:00:00;29.2;1.3;;;;;;;;;;;;2023-04-02 20:35:30;;29.7;28.9;;;;;
330075;0;;2023-04-02 20:20:00;28.7;1.0;;;;;;;;;;;;2023-04-02 21:20:24;;29.7;28.6;;;;;
330075;0;;2023-04-02 20:40:00;28.1;2.5;;;;;;;;;;;;2023-04-02 21:20:24;;29.0;27.9;;;;;
330075;0;;2023-04-02 21:00:00;27.5;2.3;;;;;;;;;;;;2023-04-02 21:20:24;;28.1;27.4;;;;;
330075;0;;2023-04-02 21:20:00;27.1;2.7;;;;;;;;;;;;2023-04-02 22:20:30;;27.7;26.9;;;;;
330075;0;;2023-04-02 21:40:00;26.8;2.6;;;;;;;;;;;;2023-04-02 22:20:30;;27.3;26.8;;;;;
330075;0;;2023-04-02 22:00:00;25.9;2.6;;;;;;;;;;;;2023-04-02 22:20:30;;27.1;25.7;;;;;
330075;0;;2023-04-02 22:20:00;24.4;5.7;;;;;;;;;;;;2023-04-02 23:20:25;;25.9;24.4;;;;;
330075;0;;2023-04-02 22:40:00;22.3;5.4;;;;;;;;;;;;2023-04-02 23:20:25;;24.6;22.3;;;;;
330075;0;;2023-04-02 23:00:00;20.6;4.6;;;;;;;;;;;;2023-04-02 23:20:25;;22.5;20.4;;;;;
330075;0;;2023-04-02 23:20:00;19.9;4.2;;;;;;;;;;;;2023-04-03 00:20:29;;20.7;19.7;;;;;
330075;0;;2023-04-02 23:40:00;19.8;4.0;;;;;;;;;;;;2023-04-03 00:20:29;;20.2;19.6;;;;;
330075;0;;2023-04-03 00:00:00;18.9;3.3;;;;;;;;;;;;2023-04-03 00:20:29;;19.9;18.9;;;;;
330075;0;;2023-04-03 00:20:00;18.6;3.2;;;;;;;;;;;;2023-04-03 01:35:24;;19.1;18.2;;;;;
330075;0;;2023-04-03 00:40:00;17.9;3.0;;;;;;;;;;;;2023-04-03 01:35:24;;18.7;17.9;;;;;
330075;0;;2023-04-03 01:00:00;17.4;2.9;;;;;;;;;;;;2023-04-03 01:35:24;;18.1;17.4;;;;;
330075;0;;2023-04-03 01:20:00;17.3;3.1;;;;;;;;;;;;2023-04-03 02:30:11;;17.6;17.1;;;;;
330075;0;;2023-04-03 01:40:00;17.1;3.0;;;;;;;;;;;;2023-04-03 02:30:11;;17.5;16.9;;;;;
330075;0;;2023-04-03 02:00:00;16.4;2.8;;;;;;;;;;;;2023-04-03 02:30:11;;17.1;16.3;;;;;
330075;0;;2023-04-03 02:20:00;16.3;2.7;;;;;;;;;;;;2023-04-03 03:45:04;;16.5;16.1;;;;;
330075;0;;2023-04-03 02:40:00;16.5;2.8;;;;;;;;;;;;2023-04-03 03:45:04;;16.6;16.2;;;;;
330075;0;;2023-04-03 03:00:00;15.9;2.5;;;;;;;;;;;;2023-04-03 03:45:04;;16.5;15.7;;;;;
330075;0;;2023-04-03 03:20:00;15.3;2.2;;;;;;;;;;;;2023-04-03 04:20:24;;15.8;15.2;;;;;
330075;0;;2023-04-03 03:40:00;15.3;1.7;;;;;;;;;;;;2023-04-03 04:20:24;;15.6;15.1;;;;;
330075;0;;2023-04-03 04:00:00;15.6;2.1;;;;;;;;;;;;2023-04-03 04:20:24;;15.9;15.3;;;;;
330075;0;;2023-04-03 04:20:00;15.2;1.4;;;;;;;;;;;;2023-04-03 05:20:25;;15.5;15.1;;;;;
330075;0;;2023-04-03 04:40:00;15.4;1.5;;;;;;;;;;;;2023-04-03 05:20:25;;15.6;15.1;;;;;
330075;0;;2023-04-03 05:00:00;15.0;1.5;;;;;;;;;;;;2023-04-03 05:20:25;;15.4;14.4;;;;;
330075;0;;2023-04-03 05:20:00;14.1;1.6;;;;;;;;;;;;2023-04-03 06:20:20;;15.2;13.8;;;;;
330075;0;;2023-04-03 05:40:00;14.1;1.6;;;;;;;;;;;;2023-04-03 06:20:20;;14.2;13.7;;;;;
330075;0;;2023-04-03 06:00:00;13.6;1.3;;;;;;;;;;;;2023-04-03 06:20:20;;14.1;13.3;;;;;
330075;0;;2023-04-03 06:20:00;13.6;0.9;;;;;;;;;;;;2023-04-03 07:35:25;;13.8;13.4;;;;;
330075;0;;2023-04-03 06:40:00;13.3;0.8;;;;;;;;;;;;2023-04-03 07:35:25;;13.8;13.1;;;;;
330075;0;;2023-04-03 07:00:00;13.1;0.6;;;;;;;;;;;;2023-04-03 07:35:25;;13.7;13.1;;;;;
330075;0;;2023-04-03 07:20:00;13.1;0.8;;;;;;;;;;;;2023-04-03 08:35:23;;13.2;12.8;;;;;
330075;0;;2023-04-03 07:40:00;12.6;0.3;;;;;;;;;;;;2023-04-03 08:35:23;;13.1;12.4;;;;;
330075;0;;2023-04-03 08:00:00;12.8;0.1;;;;;;;;;;;;2023-04-03 08:35:23;;13.1;12.6;;;;;
330075;0;;2023-04-03 08:20:00;12.3;-0.2;;;;;;;;;;;;2023-04-03 09:20:20;;12.9;12.3;;;;;
330075;0;;2023-04-03 08:40:00;12.8;-0.3;;;;;;;;;;;;2023-04-03 09:20:20;;12.8;12.3;;;;;
330075;0;;2023-04-03 09:00:00;12.3;-0.6;;;;;;;;;;;;2023-04-03 09:20:20;;12.9;12.3;;;;;
330075;0;;2023-04-03 09:20:00;13.0;-1.0;;;;;;;;;;;;2023-04-03 10:20:22;;13.1;12.3;;;;;
330075;0;;2023-04-03 09:40:00;12.5;-1.2;;;;;;;;;;;;2023-04-03 10:20:22;;13.3;12.5;;;;;
330075;0;;2023-04-03 10:00:00;12.7;-1.0;;;;;;;;;;;;2023-04-03 10:20:22;;13.1;12.5;;;;;
330075;0;;2023-04-03 10:20:00;12.5;-0.9;;;;;;;;;;;;2023-04-03 11:20:26;;12.8;12.2;;;;;
330075;0;;2023-04-03 10:40:00;11.6;-1.0;;;;;;;;;;;;2023-04-03 11:20:26;;12.6;11.5;;;;;
330075;0;;2023-04-03 11:00:00;11.8;-1.1;;;;;;;;;;;;2023-04-03 11:20:26;;11.9;11.4;;;;;
330075;0;;2023-04-03 11:20:00;12.4;-1.4;;;;;;;;;;;;2023-04-03 12:20:24;;12.8;11.8;;;;;
330075;0;;2023-04-03 11:40:00;12.6;-1.3;;;;;;;;;;;;2023-04-03 12:20:24;;12.7;12.2;;;;;
330075;0;;2023-04-03 12:00:00;13.6;-0.9;;;;;;;;;;;;2023-04-03 12:20:24;;13.6;12.6;;;;;
330075;0;;2023-04-03 12:20:00;14.9;-0.4;;;;;;;;;;;;2023-04-03 13:20:23;;14.9;13.5;;;;;
330075;0;;2023-04-03 12:40:00;15.7;-0.2;;;;;;;;;;;;2023-04-03 13:20:23;;16.0;14.7;;;;;
330075;0;;2023-04-03 13:00:00;17.1;0.6;;;;;;;;;;;;2023-04-03 13:20:23;;17.2;15.7;;;;;
330075;0;;2023-04-03 13:20:00;18.6;1.3;;;;;;;;;;;;2023-04-03 14:20:25;;18.9;17.0;;;;;
330075;0;;2023-04-03 13:40:00;19.1;3.9;;;;;;;;;;;;2023-04-03 14:20:25;;19.3;18.6;;;;;
330075;0;;2023-04-03 14:00:00;19.5;4.1;;;;;;;;;;;;2023-04-03 14:20:25;;19.8;19.0;;;;;
330075;0;;2023-04-03 14:20:00;20.2;4.2;;;;;;;;;;;;2023-04-03 15:35:26;;20.5;19.5;;;;;
330075;0;;2023-04-03 14:40:00;21.0;5.3;;;;;;;;;;;;2023-04-03 15:35:26;;21.1;20.2;;;;;
330075;0;;2023-04-03 15:00:00;21.5;5.5;;;;;;;;;;;;2023-04-03 15:35:26;;21.8;20.9;;;;;
330075;0;;2023-04-03 15:20:00;22.0;6.6;;;;;;;;;;;;2023-04-03 16:45:03;;22.2;21.5;;;;;
330075;0;;2023-04-03 15:40:00;22.5;6.8;;;;;;;;;;;;2023-04-03 16:45:03;;22.5;22.0;;;;;
330075;0;;2023-04-03 16:00:00;22.9;7.1;;;;;;;;;;;;2023-04-03 16:45:03;;23.2;22.3;;;;;
330075;0;;2023-04-03 16:20:00;22.9;5.9;;;;;;;;;;;;2023-04-03 17:20:21;;23.4;22.6;;;;;
330075;0;;2023-04-03 16:40:00;23.4;6.0;;;;;;;;;;;;2023-04-03 17:20:21;;23.7;22.7;;;;;
330075;0;;2023-04-03 17:00:00;24.4;5.5;;;;;;;;;;;;2023-04-03 17:20:21;;24.6;23.0;;;;;
330075;0;;2023-04-03 17:20:00;24.8;5.5;;;;;;;;;;;;2023-04-03 18:20:23;;25.2;24.5;;;;;
330075;0;;2023-04-03 17:40:00;26.5;6.1;;;;;;;;;;;;2023-04-03 18:20:23;;27.1;24.9;;;;;
330075;0;;2023-04-03 18:00:00;26.6;6.5;;;;;;;;;;;;2023-04-03 18:20:23;;27.8;26.4;;;;;
330075;0;;2023-04-03 18:20:00;26.2;6.3;;;;;;;;;;;;2023-04-03 19:35:26;;27.6;25.7;;;;;
330075;0;;2023-04-03 18:40:00;26.1;6.8;;;;;;;;;;;;2023-04-03 19:35:26;;26.2;25.8;;;;;
330075;0;;2023-04-03 19:00:00;25.3;6.6;;;;;;;;;;;;2023-04-03 19:35:26;;26.1;25.3;;;;;
330075;0;;2023-04-03 19:20:00;26.3;7.4;;;;;;;;;;;;2023-04-03 20:35:23;;26.4;25.1;;;;;
330075;0;;2023-04-03 19:40:00;25.4;7.3;;;;;;;;;;;;2023-04-03 20:35:23;;26.9;25.3;;;;;
330075;0;;2023-04-03 20:00:00;24.6;7.3;;;;;;;;;;;;2023-04-03 20:35:23;;25.3;24.4;;;;;
330075;0;;2023-04-03 20:20:00;24.2;7.3;;;;;;;;;;;;2023-04-03 21:20:22;;24.7;24.0;;;;;
330075;0;;2023-04-03 20:40:00;23.9;6.1;;;;;;;;;;;;2023-04-03 21:20:22;;24.5;23.9;;;;;
330075;0;;2023-04-03 21:00:00;23.9;6.2;;;;;;;;;;;;2023-04-03 21:20:22;;24.2;23.8;;;;;
330075;0;;2023-04-03 21:20:00;23.7;6.1;;;;;;;;;;;;2023-04-03 22:35:24;;24.2;23.5;;;;;
